"Category","Item"
"Household","Toilet bowl cleaning tablets"
"Household","Floor cleaner"
"Household","Dish soap"
"Household","Dust spray"
"Household","Paper towels"
"Household","Toilet paper"
"Hygiene","Shaving foam"
"Supplements","Omega 3"
"Supplements","D3"
"Supplements","Magnesium"
"Convenience food","Oatmeal"
"Convenience food","Fruit purees"
"Convenience food","Snack bars"
"Food","Chips"
"Food","Rice cakes"
"Food","Wraps"
"Food","Cereal flakes"
"Food","Other breakfast cereals"
"Food","Rice"
"Food","Groats"
"Food","Pasta"
"Beverages","Sparkling water"
"Beverages","Cola Zero"
"Beverages","Cola Zero Zero Zero"
"Alcohol","Juices"
"Alcohol","Beer"
"Alcohol","Wine"
"Alcohol","Vodka"
"Alcohol","Whisky"
"Food","Frozen meal"
"Hygiene","Shower gel (home)"
"Hygiene","Shower gel (gym)"
"Hygiene","Gym towel"
"Hygiene","Hand cream"
"Convenience food","Spare food for backpack"
"Hygiene","Listerine Total Care mouthwash"
"Supplements","Asparaginic acid"
"Supplements","Vitamin D3"
"Supplements","Omega 3"
"Hygiene","Antiperspirant"
"Hygiene","Everyday perfume"
"Hygiene","Going-out perfume"
"Hygiene","Stretch mark cream"
"Hygiene","Bio-Oil"
"Hygiene","Shaving foam"
"Hygiene","Razor blades"
"Hygiene","Aftershave balm"
"Hygiene","Good shampoo - DX2"
